outputA/data_bicycle, test, iter_-1, 316.98
outputA/data_drjohnson, test, iter_-1, 408.59
outputA/data_treehill, test, iter_-1, 327.72
outputA/data_truck, test, iter_-1, 328.32
outputA/flowers, test, iter_-1, 322.89
outputA/garden, test, iter_-1, 325.16
outputA/kitchen, test, iter_-1, 308.17
outputA/playroom, test, iter_-1, 448.18
outputA/room, test, iter_-1, 366.42
outputA/stump, test, iter_-1, 322.61
outputA/train, test, iter_-1, 348.49
outputA/bonsai, test, iter_-1, 368.46
outputA/counter, test, iter_-1, 315.57
outputA/data_bicycle, test, iter_-1, 319.16
outputA/data_drjohnson, test, iter_-1, 418.45
outputA/data_treehill, test, iter_-1, 341.58
outputA/data_truck, test, iter_-1, 315.32
outputA/flowers, test, iter_-1, 332.70
outputA/garden, test, iter_-1, 332.41
outputA/kitchen, test, iter_-1, 324.31
outputA/playroom, test, iter_-1, 442.50
outputA/room, test, iter_-1, 375.50
outputA/stump, test, iter_-1, 343.24
outputA/train, test, iter_-1, 389.16
outputA/bonsai, test, iter_-1, 320.04
outputA/counter, test, iter_-1, 256.88
outputA/data_bicycle, test, iter_-1, 235.16
outputA/data_drjohnson, test, iter_-1, 322.07
outputA/data_treehill, test, iter_-1, 270.10
outputA/data_truck, test, iter_-1, 262.82
outputA/flowers, test, iter_-1, 290.13
outputA/garden, test, iter_-1, 266.82
outputA/kitchen, test, iter_-1, 252.59
outputA/playroom, test, iter_-1, 394.24
outputA/room, test, iter_-1, 316.10
outputA/stump, test, iter_-1, 279.63
outputA/train, test, iter_-1, 324.00
outputA/bonsai, test, iter_-1, 311.19
outputA/counter, test, iter_-1, 244.30
outputA/data_bicycle, test, iter_-1, 239.74
outputA/data_drjohnson, test, iter_-1, 312.92
outputA/data_treehill, test, iter_-1, 245.93
outputA/data_truck, test, iter_-1, 244.16
outputA/flowers, test, iter_-1, 285.54
outputA/garden, test, iter_-1, 254.87
outputA/kitchen, test, iter_-1, 222.91
outputA/playroom, test, iter_-1, 387.40
outputA/room, test, iter_-1, 297.24
outputA/stump, test, iter_-1, 286.50
outputA/train, test, iter_-1, 313.71
outputA/data_truck, test, iter_-1, 232.89
outputA/train, test, iter_-1, 308.12
outputA/data_truck, test, iter_-1, 226.06
outputA/train, test, iter_-1, 289.84
outputA/data_truck, test, iter_-1, 228.49
outputA/train, test, iter_-1, 306.31
outputA/data_truck, test, iter_-1, 221.95
outputA/train, test, iter_-1, 296.20
outputA/data_truck, test, iter_-1, 213.26
outputA/train, test, iter_-1, 294.09
outputA/data_truck, test, iter_-1, 218.78
outputA/train, test, iter_-1, 289.78
outputA/data_truck, test, iter_-1, 217.95
outputA/train, test, iter_-1, 295.53
outputA/train, test, iter_-1, 222.98
outputA/bonsai, test, iter_-1, 280.31
outputA/counter, test, iter_-1, 227.84
outputA/data_bicycle, test, iter_-1, 222.87
outputA/data_drjohnson, test, iter_-1, 254.44
outputA/data_treehill, test, iter_-1, 253.21
outputA/data_truck, test, iter_-1, 233.12
outputA/flowers, test, iter_-1, 269.98
outputA/garden, test, iter_-1, 236.93
outputA/kitchen, test, iter_-1, 213.50
outputA/playroom, test, iter_-1, 320.79
outputA/room, test, iter_-1, 258.68
outputA/stump, test, iter_-1, 262.98
outputA/train, test, iter_-1, 308.98
outputA/data_truck, test, iter_-1, 216.49
outputA/train, test, iter_-1, 281.24
outputA/data_truck, test, iter_-1, 203.62
outputA/train, test, iter_-1, 259.51
outputA/bonsai, test, iter_-1, 296.36
outputA/counter, test, iter_-1, 226.25
outputA/data_bicycle, test, iter_-1, 223.21
outputA/data_drjohnson, test, iter_-1, 292.24
outputA/data_treehill, test, iter_-1, 257.92
outputA/data_truck, test, iter_-1, 228.46
outputA/flowers, test, iter_-1, 274.70
outputA/garden, test, iter_-1, 246.73
outputA/kitchen, test, iter_-1, 204.04
outputA/playroom, test, iter_-1, 374.70
outputA/room, test, iter_-1, 282.42
outputA/stump, test, iter_-1, 271.64
outputA/train, test, iter_-1, 290.10
outputA/data_truck, test, iter_-1, 266.15
outputA/train, test, iter_-1, 306.63
outputA/data_truck, test, iter_-1, 269.60
outputA/train, test, iter_-1, 321.68
outputA/data_truck, test, iter_-1, 258.46
outputA/train, test, iter_-1, 322.95
outputA/bonsai, test, iter_-1, 313.30
outputA/counter, test, iter_-1, 263.68
outputA/data_bicycle, test, iter_-1, 244.42
outputA/data_drjohnson, test, iter_-1, 309.99
outputA/data_treehill, test, iter_-1, 276.29
outputA/data_truck, test, iter_-1, 259.84
outputA/flowers, test, iter_-1, 296.05
outputA/garden, test, iter_-1, 266.19
outputA/kitchen, test, iter_-1, 255.83
outputA/playroom, test, iter_-1, 402.85
outputA/room, test, iter_-1, 315.22
outputA/stump, test, iter_-1, 285.95
outputA/train, test, iter_-1, 323.32
outputA/bonsai, test, iter_-1, 321.17
outputA/counter, test, iter_-1, 263.72
outputA/data_bicycle, test, iter_-1, 245.42
outputA/data_drjohnson, test, iter_-1, 312.13
outputA/data_treehill, test, iter_-1, 281.01
outputA/data_truck, test, iter_-1, 266.45
outputA/flowers, test, iter_-1, 290.83
outputA/garden, test, iter_-1, 265.42
outputA/kitchen, test, iter_-1, 254.35
outputA/playroom, test, iter_-1, 386.04
outputA/room, test, iter_-1, 311.76
outputA/stump, test, iter_-1, 283.78
outputA/train, test, iter_-1, 304.45
outputGS/bonsai, test, iter_-1, 231.58
outputGS/counter, test, iter_-1, 171.83
outputGS/data_bicycle, test, iter_-1, 71.25
outputGS/data_drjohnson, test, iter_-1, 125.57
outputGS/data_treehill, test, iter_-1, 133.52
outputGS/data_truck, test, iter_-1, 119.90
outputGS/flowers, test, iter_-1, 139.46
outputGS/garden, test, iter_-1, 87.94
outputGS/kitchen, test, iter_-1, 144.00
outputGS/playroom, test, iter_-1, 177.38
outputGS/room, test, iter_-1, 166.54
outputGS/stump, test, iter_-1, 123.51
outputGS/train, test, iter_-1, 202.19
outputGS/counter, test, iter_-1, 172.15
outputGS/bonsai, test, iter_-1, 233.44
outputGS/counter, test, iter_-1, 171.71
outputGS/data_bicycle, test, iter_-1, 71.23
outputGS/data_drjohnson, test, iter_-1, 124.81
outputGS/data_treehill, test, iter_-1, 133.63
outputGS/data_truck, test, iter_-1, 119.76
outputGS/flowers, test, iter_-1, 139.71
outputGS/garden, test, iter_-1, 88.01
outputGS/kitchen, test, iter_-1, 144.11
outputGS/playroom, test, iter_-1, 174.34
outputGS/room, test, iter_-1, 166.73
outputGS/stump, test, iter_-1, 123.45
outputGS/train, test, iter_-1, 205.15
